# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
265;PMK-politischer Kalender;PMK-politischer Kalender;ZIR;V1.8;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Ereignisdatum;Land_Gebiet
265_73;Sankt-Veits-Tag;0;1;0;NULL;;vernichtende Niederlage der Serben gegen die Türken bei der Schlacht auf dem Amselfeld;2001-01-01;2016-12-31;;1389-06-28;Jugoslawien (ehemalig)
265_74;Schlacht von Karameh;0;1;0;NULL;;;2001-01-01;2016-12-31;;1968-03-21;Palästinensische Autonomiegebiete
265_75;'"Schwarzer September" - Massaker in Jordanien';0;1;0;NULL;;;2001-01-01;2016-12-31;;1970-09-17;Palästinensische Autonomiegebiete
265_76;Silvio MEIER;0;1;0;NULL;;wird bei Auseinandersetzungen zwischen linken und rechten Jugendlichen erstochen;2001-01-01;;;1992-11-21;Deutschland
265_78;Sonnenwendfeiern (Sommer);0;1;0;NULL;;;2001-01-01;2018-12-31;Sommersonnenwende;0000-06-21;Deutschland
265_8;Auseinandersetzung zwischen saudischen Sicherheitskräften und iranischen Pilgern in Mekka/Saudi-Arabien;0;1;0;NULL;;;2001-01-01;2016-12-31;;1987-07-31;Iran
265_80;Sonnenwendfeiern (Winter);0;1;0;NULL;;;2001-01-01;2018-12-31;Wintersonnenwende;0000-12-21;Deutschland
265_81;Sprengstoffanschlag auf der Theresienwiese in München (Oktoberfest);0;1;0;NULL;;Oktoberfest;2001-01-01;2016-12-31;;1980-09-26;Deutschland
265_82;srilankisch-indisches Abkommen zur Beendigung des Tamilenkonflikts;0;1;0;NULL;;;2001-01-01;2016-12-31;;1987-07-29;Sri Lanka
265_83;Staatsgründung Israel;0;1;0;NULL;;'Staatsgründung: 14.05.1948; der Jahrestag richtet sich in Israel nach dem jüdischen Kalender und ist daher variabel';2001-01-01;;;April/Mai;Israel
265_84;Sturm auf den goldenen Tempel der Sikhs;0;1;0;NULL;;;2001-01-01;2016-12-31;;1984-06-06;Indien
265_85;Suizid Adolf HITLER;0;1;0;NULL;;;2001-01-01;;;1945-04-30;Deutschland
265_86;Suizid der Ulrike MEINHOF;0;1;0;NULL;;;2001-01-01;2016-12-31;;1976-05-07;Deutschland
265_87;Suizid Hermann GÖRING;0;1;0;NULL;;;2001-01-01;2016-12-31;;1946-10-15;Deutschland
265_88;Suizid Joseph GOEBBELS;0;1;0;NULL;;;2001-01-01;2016-12-31;;1945-05-01;Deutschland
265_89;Suizid von BAADER, ENSSLIN und RASPE in der JVA Stammheim;0;1;0;NULL;;;2001-01-01;2019-12-31;;1977-10-18;Deutschland
265_9;Ausrufung des Staates Palästina;0;1;0;NULL;;;2001-01-01;2016-12-31;;1988-11-15;Palästinensische Autonomiegebiete
265_90;Tag der Arbeit;0;1;0;NULL;;;2001-01-01;;;0000-05-01;Deutschland
265_91;Tag der Deutschen Einheit;0;1;0;NULL;;;2001-01-01;;;1990-10-03;Deutschland
265_92;'"Tag der Ehre"';0;1;0;NULL;;Treffen von Rechtsextremisten seit einigen Jahren in Budapest, Club "Wiking";2001-01-01;2018-12-31;;0000-02-13;Deutschland
265_93;Tag der Hingerichteten und politischen Gefangenen;0;1;0;NULL;;;2001-01-01;2016-12-31;;1981-06-21;Iran
265_94;Tag der iranischen Revolution;0;1;0;NULL;;;2001-01-01;2018-12-31;;1979-02-11;Iran
265_95;Tag der islamischen Republik;0;1;0;NULL;;;2001-01-01;2016-12-31;;1979-04-01;Iran
265_96;Tag der Mahnung und Erinnerung an den antifaschistischen Widerstand;0;1;0;NULL;;seit 1945;2001-01-01;2016-12-31;;zweiter Sonntag im September;Deutschland
265_97;Tag des Bodens;0;1;0;NULL;;;2001-01-01;2016-12-31;;1976-03-30;Palästinensische Autonomiegebiete
265_98;Tag des Volksaufstandes im Iran;0;1;0;NULL;;;2001-01-01;2016-12-31;;1963-06-05;Iran
265_99;Tag des Widerstands;0;1;0;NULL;;;2001-01-01;2016-12-31;Mordanschlag auf KHOMEINI;1981-06-20;Iran
